item_name,main_category,sub_category,year,transactions,investment,revenue,profit,profit_margin_percentage,roi_percenatge
Pomegranate,Fresh Produce,Tropical Fruits,535,529,758.0,1895.0,1137.0,60.0,150.0
Pomegrante 2For $3,Fresh Produce,Deals,67,56,203.32000000000014,204.0,0.6800000000000004,0.33333333333333354,0.334448160535117
Pomelo,Fresh Produce,Citrus Fruits,15,15,77.01599999999999,115.33146,38.31546,33.2220367278798,49.75000000000001
Potato Brushed,Fresh Produce,Potatoes,3849,3831,9196.726499999966,10218.584999999981,1021.8584999999991,10.00000000000001,11.111111111111143
Potato Desiree,Fresh Produce,Potatoes,2896,2882,0.0,8365.732959999994,8365.732959999994,100.0,inf
Potato Dumplings 500G,Snacks,Packaged Snacks,16,15,0.0,67.5,67.5,100.0,inf
Potato Gnocchi,Pantry Staples,Pasta,19,18,42.0,52.5,10.5,20.0,25.0
Potato Kipfler,Fresh Produce,Potatoes,52,52,0.0,225.685,225.685,100.0,inf
Potato Red 4Kg,Fresh Produce,Potatoes,4,4,12.0,28.0,16.0,57.14285714285714,133.33333333333331
Potato Sweet Gold,Fresh Produce,Potatoes,5188,5164,0.0,11400.636780000039,11400.636780000039,100.0,inf
Potato Washed,Fresh Produce,Potatoes,3179,3171,0.0,8507.297499999993,8507.297499999993,100.0,inf
Potatoes Red 5Kg,Fresh Produce,Potatoes,1563,1563,0.0,9612.0,9612.0,100.0,inf
Potatoes Royal Blue,Fresh Produce,Potatoes,22,22,0.0,56.732260000000004,56.732260000000004,100.0,inf
Premium 5K Pattu,Pantry Staples,Rice,19,19,212.40000000000003,270.0,57.600000000000016,21.33333333333334,27.118644067796616
Prepacked Chinese Garlic,Fresh Produce,Onions,51,51,56.0,196.0,140.0,71.42857142857143,250.0
President Plum,Fresh Produce,Stonefruits,26,26,0.0,58.98180000000001,58.98180000000001,100.0,inf
Pretzel Snack 250G,Snacks,Packaged Snacks,42,41,62.58000000000003,152.345454534,89.76545453399997,58.922305761322455,143.44112261744957
Prickly Pears,Fresh Produce,Tropical Fruits,183,182,208.73999999999995,520.8063,312.06629999999984,59.91983967935869,149.49999999999997
Pumpkin Butternut,Fresh Produce,Pumpkins,2317,2285,0.0,5300.448579999999,5300.448579999999,100.0,inf
Pumpkin Grey,Fresh Produce,Pumpkins,1230,1222,0.0,3258.1533699999986,3258.1533699999986,100.0,inf
Pumpkin Japanese/Kent,Fresh Produce,Pumpkins,4251,4231,0.0,9719.536110000026,9719.536110000026,100.0,inf
Pumpkin Seeds Kernals 500G,Snacks,Dry Fruits And Nuts,19,19,74.1,100.51000000000003,26.410000000000007,26.27599243856333,35.64102564102566
Pure Coconut Water 520Ml,Beverages,Fruit Juice,69,69,96.00000000000011,175.99999999999994,80.0,45.45454545454547,83.33333333333324
Pure Ghee 200Ml,Snacks,Dry Fruits And Nuts,17,17,49.13,67.83000000000003,18.7,27.5689223057644,38.06228373702422
Pure Ghee 500Ml,Snacks,Dry Fruits And Nuts,15,13,101.7,112.5,10.8,9.6,10.619469026548673
Pure Honey 1Kg,Pantry Staples,Baking,53,52,583.0,741.4700000000004,158.47000000000003,21.3724088634739,27.181818181818183
Purple Striped Eggplant,Fresh Produce,Other Vegies,198,198,0.0,473.3639999999999,473.3639999999999,100.0,inf
Quil Egg,"Dairy, Cheese, And Eggs",Eggs,60,59,187.60000000000014,234.5,46.900000000000034,20.000000000000014,25.0
Quinces,Fresh Produce,Other Fruits,295,295,25.715599999999995,1283.2084400000012,1257.49284,97.99599198396784,4890.000000000001
R2E2 Mango,Fresh Produce,Tropical Fruits,574,572,904.0360000000001,2260.09,1356.054,60.0,150.0
R2E2 Mango 2,Fresh Produce,Deals,621,611,0.0,2839.2000000000126,2839.2000000000126,100.0,inf
Radicchio,Fresh Produce,Lettuces,104,103,292.5,526.5,234.0,44.44444444444444,80.0
Radish Red,Fresh Produce,Bunch Vegies,14,14,5.33,10.63868,5.308680000000001,49.8997995991984,99.60000000000001
Radish White,Fresh Produce,Asian Vegies,1682,1679,0.0,3361.328099999994,3361.328099999994,100.0,inf
Radish White Bunch,Fresh Produce,Bunch Vegies,20,20,0.0,73.5,73.5,100.0,inf
Rainbow Silverbeet,Fresh Produce,Bunch Vegies,9,9,0.0,26.910000000000004,26.910000000000004,100.0,inf
Raisins 500G,Snacks,Dry Fruits And Nuts,67,62,201.6000000000001,359.28000000000037,157.6799999999999,43.88777555110213,78.21428571428561
Rambutan,Fresh Produce,Tropical Fruits,49,48,0.0,189.432,189.432,100.0,inf
Rampe Leaves Dried 50G,Pantry Staples,Spices,9,9,13.049999999999997,22.5,9.450000000000001,42.00000000000001,72.4137931034483
Rancrisp Burnt Cashew 100G,Snacks,Dry Fruits And Nuts,5,5,20.0,22.5,2.5,11.11111111111111,12.5
Rancrisp Devilled Cashews 100G,Snacks,Dry Fruits And Nuts,9,9,52.0,58.5,6.5,11.11111111111111,12.5
Rape,Fresh Produce,Bunch Vegies,172,171,750.0,900.0,150.0,16.666666666666664,20.0
Raspberry Petite,Breads & Bakery,Packaged,5,5,24.75,29.5,4.75,16.101694915254235,19.19191919191919
Raw Sugar 1Kg,Pantry Staples,Sugar,22,22,39.599999999999994,50.59999999999998,11.0,21.739130434782616,27.77777777777778
